Name,About,Genres,Keywords,ImageLink
Принцесса Мононоке,"Убив вепря, юный принц Аситака навлек на себя смертельное проклятие. Старая знахарка предсказала, что только он сам способен изменить свою судьбу, и отважный воин отправился в опасное путешествие. Так он оказался в загадочной стране, где люди под предводительством злой госпожи Эбоси воевали с обитателями леса: духами, демонами и гигантскими существами, каких Аситака раньше никогда не видел.","аниме, мультфильм, фэнтези, боевик, драма, приключения",2D-анимация | XV век | Бог | Боров | Волк | Герой | Гигантское животное | Говорящее животное | Гора | Движение в защиту окружающей среды | Демон | Дух | Женщина-воин | Крик Вильгельма (звуковой эффект) | Кровь | Культовый фильм | Лес | Лось | Меч | Моральная неопределённость | Ненависть | Обезьяна | Олень | Отношения человека и животного | Охрана окружающей среды | Плавание | Предубеждение | Преследование | Принц | Принцесса | Природа | Проказа | Проклятие | Против войны | Ручное огнестрельное оружие | Сильная женщина | Собака | Сострадание | Темное фэнтези,//avatars.mds.yandex.net/get-kinopoisk-image/10671298/0f8a0f49-c2e4-4d9e-a0dc-d8972b7a619f/300x450
Жестокий романс,"Действие разворачивается на берегу Волги в вымышленном провинциальном городке Бряхимове в 1877—1878 годах. Харита Игнатьевна Огудалова — дворянка хорошей и уважаемой фамилии, вдова с тремя взрослыми дочерьми, обеднела после смерти мужа, но делает всё, чтобы устроить жизнь дочерей и выдать их замуж за достаточно богатых и знатных женихов. В отсутствие средств она держит открытый дом, рассчитывая, что общество красивых и музыкальных барышень привлечёт холостых мужчин, достаточно богатых, чтобы жениться по любви на бесприданницах.","драма, мелодрама, история",Женщина | Исторический | Любовь | Мужчина | Надежда | Обман | По мотивам пьесы | Флирт,//avatars.mds.yandex.net/get-kinopoisk-image/1704946/92e0ce01-04c8-4aa5-92ab-a4a49274d58d/300x450
Загадочная история Бенджамина Баттона,"Фильм о мужчине, который родился в возрасте 80 лет, а затем… начал молодеть. Этот человек, как и каждый из нас, не мог остановить время. Его путь в ХХI век, берущий свое начало в Новом Орлеане в 1918 году в самом конце Первой Мировой войны, будет столь необычен, что вряд ли мог иметь место в жизни кого-либо другого. Фильм повествует о судьбе уникального человека, о людях и событиях, что ждут его впереди, о любви, которую он обретет и потеряет, о радостях жизни и грусти потерь и о том, что остается с нами вне времени.","драма, фэнтези",1910-е | 1920-е | 1930-е | 1940-е | 1950-е | 1960-е | 1970-е | 1980-е | 1990-е | 2000-е годы | XXI век | Больница | Ванна | Взрослый как ребенок | Взрослый ребенок | Вымышленная биография | Глубокая старость | Дневник | Дом престарелых | Железнодорожная станция | Заболевание | Закадровый голос | Имя персонажа в оригинальном названии | Исторический вымысел | Кожное заболевание | Любовь | Магический реализм | Мотоцикл | Музыка к фильму в исполнении оркестра | Нет названия в начале | Нет титров в начале фильма | Нью-Йорк | Оригинальное название из шести слов | Отношения мужчины старше и женщины моложе | Пианино | По мотивам рассказа | Повествование флешбэками | Преждевременное старение | Пуговица | Саундтрек с фортепьянной музыкой | Смерть | Старик | Уродливый ребенок | Флешбэк | ХХ век | Часовщик | Часы | Эпопея,//avatars.mds.yandex.net/get-kinopoisk-image/1704946/6ffcf4e6-d512-4eac-a404-7344f5371255/300x450
Назад в будущее 2,Продолжение фантастической истории о приключениях американского подростка во времени. На этот раз с помощью модернизированной Доком машины времени Марти из 80-х попадает в будущее.,"фантастика, приключения, боевик, комедия, семейный",1950-е | 1955 год | 1985 год | 2010-е | 2015 год | Аллея | Альтернативное время | Аркадная игра | Вторая часть | Герой | Девушка по соседству | Дива | Добро против зла | Задранная юбка | Захват промежности | Злодей | Машина | Машина времени | Младшая версия героя | Мультфильм по телевизору | Не в своей стихии | Ненормативная лексика | Переносная рация | Психотронный фильм | Путешествие во времени | Седые волосы | Солнечное затмение | Супружеская измена | Транспортное средство | Трон | Цифровая система Делориана номер 12,//avatars.mds.yandex.net/get-kinopoisk-image/1777765/01c1d758-900b-446a-8e0a-c76514b7afae/300x450
Вечера на хуторе близ Диканьки,"Веселая история про то, как в рождественскую ночь в украинском селе всех попутал бес и как могучему кузнецу Вакуле удалось одолеть нечистую силу и добыть для своей невесты царские черевички. Экранизация повести Н. В. Гоголя «Ночь перед Рождеством».","фэнтези, мелодрама, комедия",XVIII век | Ведьма | Гоблин | Демон | Деревня | Екатерина Великая | Исторический вымысел | Кузнец | Полет | Привязанность | Рождество | Российская империя | Сельская местность | Сказка | Снег | Тест | Туфли | Украина,//avatars.mds.yandex.net/get-kinopoisk-image/1946459/159718ab-4670-4ea4-8a87-4348ae06b9d6/300x450
Вам и не снилось...,"Школьники Роман и Катя тянутся друг к другу со всей безоглядностью первой любви. Мать Кати очень счастлива во втором браке и в озарении этого счастья хорошо понимает дочь. Роман находит поддержку у отца, давно и безответно любящего Катину маму. Но рядом ходят люди, ничего не знающие о любви...","драма, мелодрама",Ложь | Мелодрама | Мудрость | Небеса | Несправедливость | Правда | Природа | Судьба | Сумасшедшая любовь | Упоминание «Ромео и Джульетты» Шекспира | Школа,//avatars.mds.yandex.net/get-kinopoisk-image/1599028/0d59cea8-7f92-4d23-90a1-79d4485524fd/300x450
Мой Хатико,"Чунцин, начало 2000-х годов. Во время поездки за город с коллегами немолодой университетский преподаватель Чэнь подбирает на дороге грязного и испуганного щенка. Никто не соглашается взять пёсика себе, поэтому мужчине приходится втихаря принести его домой, хотя супруга терпеть не может собак. Пообещав, что найдёт щенку новый дом, Чэнь тем не менее отказывает всем претендентам — так пёс получает кличку Хатико и становится новым членом семьи.",драма,Азия | Китаец | Китай | Собака,//avatars.mds.yandex.net/get-kinopoisk-image/9784475/50e2559d-c29c-494b-b729-3961352e20bc/300x450
Гонка,"1970-е. Два непримиримых соперника в гонках «Формула-1» — обаятельный плейбой-англичанин Джеймс Хант и дисциплинированный перфекционист-австриец Ники Лауда — доводят себя до предела физической и психологической выносливости ради победы. Каждый из них стремится быть первым, а ошибка на трассе может стоить гонщикам жизни.","спорт, драма, биография","16-миллиметровая камера | 1970 год | 1970-е | 1975 год | 1976 год | 1986 год | Австралиец | Австралия | Австриец | Австрийский акцент | Австрия | Автогонки | Автограф | Автомобиль в огне | Автомобильная авария | Автомобильные гонки | Алкоголь | Англичанин | Англия | Аристократия | Архивные пленки | Аэродром | Бабник | Банк | Бельгия | Бетонированная площадка (перед ангаром) | Блик в объективе камеры | Болонья, Италия | Больница | Босой мужчина | Бразилия | Брак, женитьба | Британец | Британец за границей | Вена, Австрия | Вертолет Bell 2006 | Вертолёт | Вечеринка | Взрыв | Взрывающаяся машина | Визуализация | Винил | Виниловая пластинка | Внебрачный секс | Водитель | Водитель гоночной машины | Вождение | Вождение автомобиля | Вождение во время дождя | Возгорание | Враждебность | Врач | Газетная вырезка | Гедонизм | Гедонист | Гнев | Голая женщина (вид сзади) | Голосование | Голый мужчина (вид сзади) | Гонка со временем | Гонки на машинах | Гоночный автомобиль | Гоночный трек | Гонщик | Гора Фудзи | Гордость | Горючее | Горящий автомобиль | Граммофон | Двое в душе | Дисквалификация | Длиннохвостый попугай | Дождь | Дорожная авария | Дух соперничества | Душ | Еврокоптер As350 Squirrel | Европа | Женская нагота | Женщина топлесс | Жертва ожога | Журналист | Заголовок в газете | Зажигалка | Закадровый голос | Закадровый комментарий в эпилоге | Замедленная сцена | Замена шины | Знаменитость | Зонт | Ибица, Испания | Избиение | Изуродованное лицо | Интервью | Испания | История спорта | Италия | Итальянец | Кабина в самолете | Костюмная драма | Косяк с марихуаной | Кредит | Кровавое лицо | Кровотечение из носа | Кровь | Кровь из носа | Крупный план глаза | Крушение гоночного автомобиля | Купание нагишом | Курение сигарет | Лес | Лихачество за рулем | Личный черный янтарь | Лондон, Англия | Машина | Машина скорой помощи | Медсестра, медбрат | Между жизнью и смертью (клиническая смерть) | Менеджер | Месть | Механик | Минигольф | Миникупер | Монако | Монтаж | Монте-Карло | Мужественность | Мужская дружба | Мужская нагота | Нагота | Нападение | Наркотики | Нарциссизм | Неверность | Независимый фильм | Нелинейное повествование | Немец за рубежом | Неожиданный финал | Непристойный жест пальцем | Несчастливый брак | Несчастье | Нечувствительность | Новобранец | Новости | Нью-Йорк | Обожжённое лицо | Общий душ | Огнетушитель | Огонь | Одержимость | Ожоговая травма | Операция | Оригинальное название из одного слова | Освещение в СМИ | Оскорбление | Основано на жизни реального человека | Основано на реальных событиях | Особняк | Отношения девушки и парня | Отношения между братьями | Отношения мужа и жены | Отношения отца и сына | Очень крупный план | Пение в машине | Первый класс (в самолете) | Переговоры | Пиво | Плэйбой | Повествование флешбэками | Повреждение автомобиля | Пожарная машина | Показать средний палец | Поломка автомобиля | Полёт первым классом | Попутчик | Посещение больницы | Постельная сцена | Потеря права выкупа | Поцелуй двух мужчин | Предложение вступить в брак | Пресс-конференция | Принимающий душ | Проливной дождь | Просмотр телевизора | Профессиональная конкуренция | Птица в клетке | Путешествие автостопом | Пьянство | Развод | Разгоревшийся пожар | Разделение экрана на части | Разрыв отношений | Рана ноги | Рассказ от лица одного из героев | Рвота | Ревность | Реклама товара в кино | Риск | Ругательство на букву «F» | США | Самовлюбленный человек | Самолет | Свадьба | Секретарь | Секс в душе | Секс стоя | Скорость | Слава | Сломанная нога | Собрание | Солнцезащитные очки | Соперник | Соперничество | Сплетня | Спор | Спортивная травма | Старинная машина | Стоп-кадр | Стюардесса | Супермодель | Сцена под водой | Сцена с субтитрами | Съёмка от лица героя | Съёмка от первого лица | Телерепортер | Телефон | Телефонный звонок | Толпа репортеров | Торжество | Травма головы | Травма руки | Трофей | Тяжелый брак | Удар кулаком в живот | Удар по лицу | Упоминание Элизабет Тэйлор | Упрямство | Уродство | Феррари | Флешбэк | Флирт | Фокус камеры на женской попе | Формула 1 | Франция | Французский поцелуй | ХХ век | Чемпион | Чемпион мира | Чемпионат | Чувство ненависти | Шампанское | Шлем | Шуба | Электронная музыка в саундтреке | Эпизод со съемкой ступней | Южная Африка | Японец | Япония | Японский флаг",//avatars.mds.yandex.net/get-kinopoisk-image/1898899/2bf5ff35-e2d6-4e3e-8b02-c42526187d4f/300x450
Тот самый Мюнхгаузен,"Комическая фантазия о жизни, любви и смерти знаменитого барона Мюнхгаузена, жившего в XVIII веке и ставшего героем многих веселых книг и преданий, опирается на персонажей и эпизоды знаменитого романа Р. Распе, но по сути является самостоятельным произведением.","фэнтези, драма, комедия",Барон | Герцог | Жена | Женщина | Ложь | Любовь | Сказка,//avatars.mds.yandex.net/get-kinopoisk-image/1629390/15c9a24e-8f3b-4a09-9440-5d5c16d0ce7d/300x450
Казино,"Никто не может сравниться с Сэмом Ротстином. Никто не умеет зарабатывать деньги, как он. Никто не умеет работать так самоотверженно и аккуратно, как трудяга Сэм. За свои неоспоримые достоинства Ротстин получил кличку Ас. И именно поэтому боссы мафии решили поручить Асу заправлять огромным шикарным казино в Лас-Вегасе. А чтобы Сэму никто не мешал работать, мафиози отправили вслед за Асом друга детства Ротстина - Никки Санторо, отпетого бандита и безжалостного головореза.","драма, криминал","«Шестёрка» | 1970-е | 1973 год | 1980 год | 1980-е | 1983 год | Автобусная остановка | Автомобиль, начиненный взрывчаткой | Авторучка | Агент ФБР | Азартные игры | Американец итальянского происхождения | Американский Средний Запад | Американский еврей | Английские субтитры в оригинале | Антисемитизм | Араб | Аферист | Бандит | Бандитизм | Банковский сейф | Бассейн | Бейсбольная бита | Блокбастер | Богатая женщина | Богатство | Боль | Борьба за власть | Босс | Босс мафии | Брызги крови | Букмекер | Бутерброд | Вертолёт | Взлеты и падения | Взрыв | Взрывающаяся машина | Виза | Ворчливая жена | Вспыльчивость | Выпивка | Выстрел в висок | Выстрел в голову | Выстрел в грудь | Выстрел в спину | Гангстер | Гангстерская казнь | Гангстерское насилие | Глава банды | Глушитель | Горящий человек | Грабитель | Грубость | Деньги | Депрессия | Держать на прицеле | Домашнее насилие | Драгоценности | Дробовик | Друг детства | Дружба | Еврейский гангстер | Жадность | Жена, изменяющая мужу | Женская нагота | Женская нагота (вид спереди) | Женщина в депрессии | Жестокая мать | Жестокий человек | Жестокость | Забитый насмерть | Закадровый голос | Зал суда | Замедленная сцена | Застреленный | Застреленный насмерть | Зверство | Зло | Злоупотребление алкоголем | Игорный синдикат | Игра в гольф | Игра в карты | Игровой автомат | Игроголик | Игрок в азартные игры | Иерархия | Избиение | Избитый | Инвестиционный банкир | Инфорсер мафии | Итальянская еда | Итальянская мафия | Итальянский гангстер | Иудей | Казино | Канзас-Сити | Канзас-Сити, Миссури | Капитализм | Карточный долг | Карточный обман | Киллер | Ключ | Ключ от банковского сейфа | Ковбой | Ковбойская шляпа | Коза Ностра | Кокаин | Колющий удар в горло | Колющий удар в шею | Колющий удар ручкой | Коррумпированный политик | Коррупция | Коррупция в политике | Коста-Рика | Кража бриллиантов | Кража со взломом | Кредитор | Кризис в браке | Криминальная семья | Криминальный авторитет | Криминальный босс | Криминальный эпос | Кровь | Крупный мафиози | Крутой парень | Кукурузное поле | Культовый режиссер | Культовый фильм | Курение без остановки | Курение сигарет | Курсы гольфа | Лас-Вегас, Невада | Лицемерие | Личный черный янтарь | Лос-Анджелес, Калифорния | Мафиозное заказное убийство | Мафиозо | Мафия | Месть | Миллион долларов | Минет | Минет в машине | Молоток | Мормоны | Мошенник | Мундштук | Мучитель | Наблюдение | Нагота | Название прописью | Название, сказанное персонажем | Наличные деньги | Наркотическая зависимость | Наёмный убийца | Незаконная деятельность | Нео-вестерн | Неонуар | Несколько рассказчиков | Нечестная азартная игра | Нюханье кокаина | Ограбление | Операторский прием «Dutch Angle» | Опьянение | Оральный секс | Оральный секс в машине | Организованная преступность | Оригинальное название из одного слова | Оригинальное название, произносимое рассказчиком | Оскорбление | Оскорбление на расовой почве | Основано на реальных событиях | Отмывание денег | Отношения между братьями | Отношения мужа и жены | Офис | Передозировка | Передозировка наркотиками | Перестраховщик | Перфекционист | Плач | По мотивам книги | По мотивам романа | Повествование от первого лица | Повреждение автомобиля | Пограничное личностное расстройство | Подвязка | Подслушивающее устройство | Подъем тела в воздух | Покер | Полицейская слежка | Полиция | Постельная сцена | Похороненный заживо | Предательство | Преступная группировка | Преступная организация | Преступник | Преступный мир | Преступный мир / преисподняя | Преступный синдикат | Прибор для прослушивания телефонных разговоров | Привязанный к кровати | Продовольственный магазин | Проститутка | Проституция | Профсоюз | Психопат | Пустыня | Пытки | Пьяная жена | Пьянство | Разбитая голова | Раздавленная рука | Расследование ФБР | Реальное преступление | Ручное огнестрельное оружие | США | Садист | Садист-психопат | Сборщик долгов | Связанный | Сейф | Секс в кровати | Секс в машине | Сенатор | Сердечный приступ | Сигарета | Скандал на почве секса | Сломанная рука | Сломанный палец | Смерть | Смерть брата | Современный вестерн | Сопровождающая съемка | Спагетти | Спор | Старик | Стрекало для скота | Супружеская измена | Сутенер | Съемка в движении | Съемка сверху | Телеведущий | Телефон | Телефонный звонок | Техника съемки из эры немого кино «Iris shot» | Токсикомания | Толпа | Труд | Труп | Труп в багажнике | У актера то же имя, что и у героя | Убийство | Убийство брата | Угроза | Удар бейсбольной битой | Удар молотком | Удар по лицу | Удар телефонным аппаратом | Узи | Ультра-замедленная съемка | Умник | Упоминание Аль Капоне | Устранение | Устранение свидетеля | Фелляция | Фишка | Циркулярная пила | Чемодан | Чемодан, полный денег | Чикаго, Иллинойс | Чрезвычайная жестокость | Чёрная комедия | Шайка | Школьник",//avatars.mds.yandex.net/get-kinopoisk-image/1704946/b648db4a-60c5-4cd8-ab8a-4f79d5609cd5/300x450
Эта замечательная жизнь,"Джордж Бейли, житель небольшого провинциального городка, всегда хотел повидать мир, но обстоятельства не давали ему покинуть родные места. Он жертвовал собой ради других, копил каждый цент, чтобы содержать семью, брал взаймы и защищал городок от злого банкира Поттера. И вот, в канун Рождества, расстроенный бесчисленными проблемами и терзаемый мыслями, что лучше бы и вовсе не рождаться, Джордж решается на отчаянный поступок. Но именно в этот момент к нему приходит ангел, чтобы показать мужчине, какой была бы жизнь, если бы он не родился.","фэнтези, драма, мелодрама, семейный","Ангел | Ангел на Земле | Ангел-хранитель | Аптека | Банк | Банкир | Банковский вклад | Бармен | Белка | Великая Депрессия | Вторая мировая война | Второй шанс | Депрессия | Жертвоприношение | Заброшенный дом | Исполнение желаний | Ливень с ураганом | Маленький город | Мальчик на посылках | Молитва | Небеса | Нью-Йорк | Отношения матери и дочери | Отношения матери и сына | Отношения отца и дочери | Отношения отца и сына | Отчуждение | Падение в воду | Пение | Попытка суицида | Потеря отца | Потеря права выкупа | Празднование | Рассеянность | Река | Рождественская елка | Рождественский гимн | Рождество | Семейные отношения | Скупец | Сочельник | Спасение утопающего | Стоп-кадр | Телеграмма | Фармацевт | Финансовые проблемы | Что, если",//avatars.mds.yandex.net/get-kinopoisk-image/10893610/c763cab4-ee73-449a-9717-701052dfbffb/300x450
Изгой,"Инспектор логистической компании FedEx Чак Ноланд — трудоголик, у которого нет времени даже на собственную невесту. Во время очередной командировки самолет с Ноландом падает в Тихий океан. Чак, единственный, кому посчастливилось спастись, оказывается на необитаемом острове, где ему придется бороться за выживание.","драма, мелодрама, приключения",Авиакатастрофа | Волейбол | Воображаемый друг | Выброшенный на берег | Выживание | Выживший | Голод | Горе | Грусть | Далекий остров | Единственный оставшийся в живых | Застрявший на острове | Зубная боль | Карманные часы | Копьё | Ливень с ураганом | Любовь | Молния | Надежда | Небольшое количество диалогов | Огонь | Океан | Остров | Отчаяние | Пейджер | Плач | Плачущий мужчина | Потерянный в море | Почтовая доставка | Разжигание огня | Рыба | Самолет | Сожаление | Спасение | Счастье | Сёрвайвелист (участник движения за выживание) | Тропический остров | Трудоголик | Труп | Уединение | Фотография | Шторм | Шторм на море,//avatars.mds.yandex.net/get-kinopoisk-image/1599028/249ec6b5-b02a-4a17-a31a-0fb2d03f963e/300x450
Землетрясение,"28 июля 1976 года в Таншане провинции Хэбэй произошло землетрясение, которое длилось меньше чем полминуты, но унесло несколько сотен тысяч жизней. Эти секунды поставили мать перед ужасным выбором — спасти сына или дочь, что обернулось грузом вины на десятилетия.","драма, история","1976 год | 2008 год | Iphone | Азия | Бедствие | Беременность вне брака | Воссоединение | Воссоединение семьи | Вытесненные воспоминания | Землетрясение | Иностранец | Июль | Китай | Колледж | Лето | Мемориал | Местоположение в оригинальном названии | Мёртвое тело | Название города в оригинальном названии | Незапланированная беременность | Общественная столовая | Однорукий человек | Отношения девушки и парня | Отношения матери и дочери | Отношения матери и сына | Отношения мужа и жены | Отношения отца и дочери | Отношения приемных отца и дочери | Посвящение | Потеря | Потеря мужа | Потеря отца | Потеря семьи | Предположительно мертвый | Приемная дочь | Протез | Протезная рука | Разговор с мертвыми | Разлука с семьей | Рикша | Семейная сага | Семейная трагедия | Семейные отношения | Смерть в семье | Смерть члена семьи | Сон, мечта | Спасание жизни | Стихийное бедствие | Студент | Умерший отец | Университетский городок | Усыновление | Усыновленный ребенок | Учитель английского | Физический или умственный недостаток | Фильм-катастрофа",//avatars.mds.yandex.net/get-kinopoisk-image/4774061/42571afc-b3f9-4f95-915d-00acd154e6b4/300x450
Работа без авторства,"Молодой художник Курт Барнерт сбегает из Восточной Германии в Западную, чтобы учиться живописи и свободно работать. Однако болезненное прошлое дает о себе знать.","биография, драма, военный, мелодрама",1930-е | 1940-е | 1950-е | 1960-е | Аборт | Беременность | Берлинская стена | Восточная Германия | Выкидыш | Вынужденный аборт | Газовая камера | Галерея искусств | Гинеколог | Голая женщина (вид сзади) | Допрос | Евгеника | Женская нагота | Женские лобковые волосы | Искусство | Коммунизм | Мужская нагота | Нацизм | Неверность | Отношения тестя и зятя | Отношения тети и племянника | Полностью обнаженная женщина | Портретная живопись | Постельная сцена | Профессор | Романтические отношения | СС | Самоубийство через повешение | Смерть отца | Современное искусство | Стенная роспись | Творческий ученик | Художественная выставка | Художник,//avatars.mds.yandex.net/get-kinopoisk-image/1629390/5884c004-d733-418e-8e94-d50759eac02e/300x450
Пленницы,"Келлер Довер сталкивается с самым большим кошмаром каждого родителя: его шестилетняя дочь пропала вместе с подругой. Время бежит, девочки не возвращаются, и паника достигает своего предела. Единственная зацепка - обветшалый фургончик, который был припаркован на их улице, когда девочки играли во дворе. Детектив Локки, возглавляющий расследование, арестовывает его водителя, Алекса Джонса, но вскоре полиция вынуждена его отпустить из-за нехватки улик. Полиция медлит, а обезумевший от горя отец берет дело в свои руки. Но как далеко готов зайти Келлер в поисках девочек?","триллер, драма, криминал, детектив","Больница | Виджиланте | Держать на прицеле | Детектив | Дождь | Жестокое обращение с животными | Застреленный | Зверство | Змея | Комната для допросов | Место преступления | Месть | Наркотический напиток | Неонуар | Носок | Общественное антикриминальное движение | Побег | Подвеска | Поиски отцом пропавшей дочери | Поиски пропавшей девушки | Полицейское расследование | Полиция | Похищение | Похищение ребенка | Похищенный ребёнок | Пропавшая девочка | Пропавшая дочь | Пытки | Расследование | Самосуд | Свист | Связанный, с кляпом во рту | Сексуальный преступник | Серийное убийство | Собака | Стремление к выживанию | Сёрвайвелист (участник движения за выживание) | Убийство ребенка | Умственная отсталость",//avatars.mds.yandex.net/get-kinopoisk-image/1900788/c7debfa6-6264-4352-a996-3676906cce58/300x450
Нечто,"Команде ученых американской исследовательской станции в Антарктике предстоит столкнуться с необъяснимым кошмаром. Отрезанные от остального мира полярники вступают в схватку с инопланетной тварью, способной принимать обличье земных существ.","ужасы, фантастика","Ад на Земле | Американский фильм ужасов | Антарктика | Бомбардир | Брызги крови | В фильме только мужчины | Восхождение | Двусмысленный финал | Запись (бумажная, аудио, видео) | Зло | Злодей | Извлечение внутренних органов | Изменение облика | Изоляция | Иноземная форма жизни | Инопланетное вторжение | Инопланетное создание | Кратер | Кровавая баня | Культовый фильм | Маньяк | Место разбивки лагеря | Мёртвое тело | Научная экспедиция | Научно-исследовательская станция | Образец крови | Одержимость | Паранойя | Порезать на кусочки | Похороненный | Престарелый астронавт | Разрезать на куски | Расчленение | Резня | Римейк | Ругательство на букву «F» | Свеча | Скотч J&B | Собака | Существо | Съеденный заживо | Темнота | Трансформация | Ужас | Фильм ужасов о выживании | Хоррор с телесными мутациями",//avatars.mds.yandex.net/get-kinopoisk-image/6201401/01d5bf88-75de-4686-a322-14a55fca991c/300x450
Прислуга,"Американский Юг, на дворе 1960-е годы. Скитер только-только закончила университет и возвращается домой, в сонный городок Джексон, где никогда ничего не происходит. Она мечтает стать писательницей, вырваться в большой мир. Но для приличной девушки с Юга не пристало тешиться столь глупыми иллюзиями, приличной девушке следует выйти замуж и хлопотать по дому.",драма,"1960-е | Автобус | Афроамериканец | Беременная жена | Беременность | Богатые родители | Будущая мать | Выкидыш | Выпечка | Газетный обозреватель | Главный герой - женщина | Гражданские права | Движение за гражданские права | Друг | Дружба | Классовые различия | Красавица с юга | Миссиссипи | Название прописью | Название, сказанное персонажем | Написание книги | Написание романа | Оригинальное название из двух слов | Отношения матери и дочери | Отношения мужа и жены | Первая работа | Пирог | Писатель | По мотивам романа | Расизм | Расовая ненависть | Расовая сегрегация | Расовые проблемы | Сила духа | Сильная героиня | Служанка | Старение | Тест Бекдел пройден | Трофейная жена | Умирающий от рака | Упоминание Мартина Лютера Кинга | Управление эмоциями | Чернокожая горничная | Экскременты | Эксплуатационное кино",//avatars.mds.yandex.net/get-kinopoisk-image/4303601/f1c4d9cb-2120-487c-a84a-cbb8e5c462c0/300x450
Гараж,"На заседании гаражного кооператива предстоит выбрать четырех «крайних», которые должны сами отказаться от будущего собственного гаража. Но выбора, в общем-то, и нет — правление кооператива уже составило список сокращаемых, который собранию надо лишь утвердить.","драма, комедия",Гараж | Машина | Неудача | Оригинальное название из одного слова | Паркинг | Сатира | Съемки в одних декорациях,//avatars.mds.yandex.net/get-kinopoisk-image/1600647/b34eebcf-7dde-4d6e-92b8-65db1aab935d/300x450
Мементо,"Леонард Шелби изысканно и дорого одет, ездит на новеньком «Ягуаре», но останавливается в дешевых мотелях. Он всеми силами пытается найти убийцу жены. Его проблема — редкая форма амнезии, потеря короткой памяти — помня все до убийства, он не помнит, что было 15 минут назад.","триллер, детектив, драма, криминал","Американец итальянского происхождения | Антигерой | Барменша | В обратном направлении | Главный герой мужского пола | Диабетик | Душ | Женское нижнее белье | Жестокость | Записка | Изнасилование | Изнасилование и убийство | Инсулин | Инъекция | Личность | Манипуляция | Месть | Монолог | Мотель | Напоминание | Недостоверное повествование | Недостоверный флешбэк | Нелинейное повествование | Неонуар | Озвучивание мыслей героев | Отвлекающий манёвр | Память | Повторяющаяся реплика | Потеря жены | Потеря кратковременной памяти | Психологический триллер | Ругательство на букву «F» | Самообман | Саспенс | Связанный, с кляпом во рту | Скрытая правда | Страдающий амнезией | Страховой инспектор | Татуировка | Телефон | Тёмный герой | Убийство | Флешбэк | Флешфорвард | Фотография | Черно-белая сцена | Ягуар",//avatars.mds.yandex.net/get-kinopoisk-image/6201401/3fabdd0d-9b34-4cbf-a3b0-eb8448ccc122/300x450
Цельнометаллическая оболочка,"Американская база подготовки новобранцев корпуса морской пехоты. Жесточайшая, бесчеловечная система призвана превратить домашних мальчишек в натренированных хладнокровных убийц. Их готовят к войне во Вьетнаме, где им придется часто задавать себе вопрос «Разве война - это не ад?», а иначе просто невозможно убивать каждый день, не понимая, для чего это?","драма, военный","1960-е | 1967 год | 1968 год | Американские войска | Брызги крови | Ванная комната | Военная база | Военная подготовка | Военный корреспондент | Война во Вьетнаме | Вооруженные силы | Вьетнам | Групповое наказание | Длинный кадр | Женщина-снайпер | Жестокость | Закадровый голос | Замедленная сцена | Засада | Застреленный | Издевательство | Инструктор по строевым учениям | Корпус морской пехоты США | Кровь | Морской пехотинец США | Мужская дружба | Название из трех слов | Название, сказанное персонажем | Начальная подготовка | Ненормативная лексика | Нервный срыв | Партизанская война | Перестрелка | Полоса препятствий | Прозвище | Самоубийство | Словесное оскорбление | Снайпер | Сражение | Убийство | Убийство из милосердия | Убийство перед самоубийством | Унижение | Учебный лагерь новобранцев",//avatars.mds.yandex.net/get-kinopoisk-image/1599028/63ae09b0-12c7-4ca6-996a-1a9435cb8cfc/300x450
Гарри Поттер и Дары Смерти: Часть I,Гарри Поттера ждёт самое страшное испытание в жизни — смертельная схватка с Волан-де-Мортом. Друзья и враги Гарри предстают в совершенно неожиданном свете. Граница между добром и злом становится всё призрачнее.,"фэнтези, приключения, семейный",Беглец | В бегах | Ведьма | Видения | Волшебная палочка | Волшебник | Волшебство | Выживание | Главный герой мужского пола | Гонение | Друг | Дружба | Дружба между мальчиками | Дьявол | Злой волшебник | Змея | Избранный | Кафе | Кладбище | Книга | Лес | Отвага | Открытый финал | Палатка | Пляж | По мотивам молодежного романа | По мотивам романа | Поезд | Психотронный фильм | Пытки | Радио | Расизм | Свадьба | Сиквел | Страх | Темное фэнтези | Хладнокровное убийство,//avatars.mds.yandex.net/get-kinopoisk-image/6201401/66852969-2d21-45de-bae1-62ec7760f756/300x450
